St: 000001; Rocky-Point, JupiThor Valhallla
St: 000002; Holyně, Davis Vantage Pro
St: 000003; Parkstone, Parkstone Yacht Club
St: 000004; Presidente Roca, METEOBRIDGE WH1081
St: 000005; Wakanoi, Waihi Beach
St: 000006; Tarifa, Volare Starboard Tarifa
St: 000007; Nechranice, Bobík
St: 000008; Unknown spot, Unknown WG Station
St: 000009; Unknown spot, Unknown WG Station
St: 000010; Red Bull King of the Air 2017
St: 000011; H, GA
St: 000012; Unknown spot, Unknown WG Station
St: 000013; Unknown spot, Unknown WG Station
St: 000014; KLEOPATRA BEACH AGIOS NICOLAOS, LEFKADA, KLEOPATRA KITE REZORT, BIG AL SURF SHOP
St: 000015; Unknown spot, Unknown WG Station
St: 000016; Heavensurfhouse, Yedidalga
St: 000017; Famagusta, EMU Beach Club Surf School
St: 000018; Papouch Praha, Test
St: 000019; Lipno - Černá v Pošumaví (Jestřábí), Catamaran
St: 000020; Letna Park Praha, Testing Station
St: 000021; Akdeniz, Caretta Beach Restaurant
St: 000022; Nové Mlýny, YC Dyje přístav
St: 000023; Unknown spot, Unknown WG Station
St: 000024; Ládví
St: 000025; La Calera, Cordoba, Estacion Voler Parapente
St: 000026; Unknown spot, Unknown WG Station
St: 000027; Kazbegi
St: 000028; Lago Maggiore, Porto Ronco Beach, portoroncobeach.ch
St: 000029; Broad Haven, Haven Sports
St: 000030; Bonaire, Atlantis, Kiteboardingbonaire.com
St: 000031; Praia do Garrao, Izzys
St: 000032; Neusiedl am See, OeSV Bundesleistungszentrum
St: 000033; -----
St: 000034; Rettin, Surfschule Rettin
St: 000035; Quebra Mar - Paracurù - Cearà
St: 000036; ArecoClima, San Antonio de Areco, MeteoStar
St: 000037; Gimnasia Zona Norte, Chivilcoy, Buenos Aires, MeteoStar Team
St: 000038; Ilha do Guajiru, Pousada via col vento
St: 000039; Nagaev bay, NAGAEVA
St: 000040; Viganj, Water Donkey
St: 000041; Mauritius, Pointe D'Esny
St: 000042; Cape Town, Kitebeach, Board and Kite Africa
St: 000043; Pagham, Kitesurfing Armada
St: 000044; Bloubergstrand, Best Kiteboarding Africa
St: 000045; 3 Anchor Bay, Kaskazi Kayaks
St: 000046; Benicasim, Caseta CVB
St: 000047; Lauttasaari, Larukite
St: 000048; wsb pirogovo, wsb pirogovo
St: 000049; Viboni, Kalna Viboni
St: 000050; Agios Nikolaos, Agiosnikolaos-kitecenter
St: 000051; Dunes Kite Piles Club / Platja de Piles, DKPiles Meteo
St: 000052; Playa de Valdevaqueros, Tarifa Spin Out
St: 000053; 
St: 000054; Térénez, SRTZ
St: 000055; Zloncice, Kralupy nad Vltavou, Maca
St: 000056; Paracuru, Quebra-Mar, KITEFRIENDS
St: 000057; Marmari - Kos, Marmari Windsurfing Center
St: 000058; Hel, Chałupy, FUNSURF.PL
St: 000059; Flag Beach, Flag Beach Water Sports Centre
St: 000060; El Medano, AZULKITEBOARDING
St: 000061; Seaford Bay, Newhaven and Seaford Sailing Club NSSC
St: 000062; St Kilda VIC, St Kilda VIC
St: 000063; Sailing Time Thessaloniki, Club
St: 000064; Harlow Blackwater Sailing Club, hbsc
St: 000065; Bowentown, Pioshores
St: 000066; Castiglione della Pescaia, CVCP
St: 000067; Duny, St.Petersburg (OLD), Duna
St: 000068; Brae Marina, DBC
St: 000069; Pozo Izquierdo, CUTRE School & Rent, CUTRE Windsurf
St: 000070; Fergusson Park, FergyPark
St: 000071; Riga, Kisezers, Klubs 360
St: 000072; Agios Ilias / Pirgi, Kiteshack Wind Station
St: 000073; חוף צופי ים - הרצליה, HERZLIA SEA SCOUTS
St: 000074; Unknown spot, Unknown WG Station
St: 000075; Unknown spot, Unknown WG Station
St: 000076; Unknown spot, Unknown WG Station
St: 000077; Villa Cañas, Santa Fe, MeteoStar
St: 000078; Rosario, Santa Fe, MeteoStar
St: 000079; General Cabrera, Córdoba, MeteoStar
St: 000080; Saladillo, Buenos Aires, MeteoStar
St: 000081; Sierras Bayas, Olavarria, Buenos Aires, MeteoStar
St: 000082; Carmen de Areco, Buenos Aires, MeteoStar
St: 000083; Aeroclub Baradero, Buenos Aires, MeteoStar
St: 000084; FDR Clima, MeteoStar
St: 000085; Saladillo, Buenos Aires, MeteoStar
St: 000086; Mar del Plata, FreeWaves, MeteoStar
St: 000087; San Rafael, Mendoza, MeteoStar
St: 000088; Chajarí, Corrientes, MeteoStar
St: 000089; San Guillermo, San Juan, MeteoStar
St: 000090; Tornquist, Buenos Aires, MeteoStar
St: 000091; Roldan, Santa Fe, MeteoStar
St: 000092; Laboulaye, Córdoba, MeteoStar
St: 000093; Necochea, Buenos Aires, MeteoStar
St: 000094; Iles de la Madeleine, 164CHCOULOMBE
St: 000095; Leucate, Chinook Surf shop
St: 000096; Nikoi Island, Nikoi Island Windguru Station
St: 000097; Fundata The Spot, spotfundata
St: 000098; Liptovská Mara, testovací režim
St: 000099; Ouen Toro Cote Blanche, LVLNC-ACPV
St: 000100; Kalajoki Hiekkasarkat, Rautio Sports Surf Center
St: 000101; Kuznica, ABCSURF.PL KUZNICA
St: 000102; J, S
St: 000103; Marina di Grosseto, Kitebeach Fiumara & restaurant
St: 000104; Westende, De Kwinte
St: 000105; Kite4fun, Kite4fun
St: 000106; Westeinderplassen, WSCA Windstation
St: 000107; Dakhla, Dakhla Attitude Hotel
St: 000108; Galisbay, Saint Martin
St: 000109; Suao Neipi, Waterman kitesurfing club
St: 000110; Blue Planet, Shuraabad
St: 000111; Les Messieres Torteval Guernsey GY8 0LP, georgeo
St: 000112; Unknown spot, Unknown WG Station
St: 000113; Zallaq, Bahrain
St: 000114; Rozkoš, Surfcentrum u Milana
St: 000115; Kingsdown, crossleas
St: 000116; Brebbia, Nautica Lavazza
St: 000117; Castricum, Sports at Sea
St: 000118; Chascomus, Aeródromo Skydivecenter
St: 000119; Praia Barra da Tijuca, ONDAS RIO
St: 000120; Unknown spot, Unknown WG Station
St: 000121; Unknown spot, Unknown WG Station
St: 000122; Unknown spot, Unknown WG Station
St: 000123; Unknown spot, Unknown WG Station
St: 000124; Unknown spot, Unknown WG Station
St: 000125; Unknown spot, Unknown WG Station
St: 000126; Unknown spot, Unknown WG Station
St: 000127; Unknown spot, Unknown WG Station
St: 000128; Unknown spot, Unknown WG Station
St: 000129; Unknown spot, Unknown WG Station
St: 000130; Castelli, Buenos Aires, MeteoStar
St: 000131; Lujan, Buenos Aires, MeteoStar
St: 000132; Leones, Cordoba, MeteoStar
St: 000133; Rauch, Buenos Aires, MeteoStar
St: 000134; La Pega, Mendoza, MeteoStar
St: 000135; Colonia San Bartolome, Arroyito, Cordoba, MeteoStar
St: 000136; Arroyito2, Cordoba, MeteoStar
St: 000137; Balnearia, Cordoba, MeteoStar
St: 000138; General Levalle, Cordoba, MeteoStar
St: 000139; Treinta de Agosto, Buenos Aires, MeteoStar
St: 000140; Cordoba Capital, Cordoba, MeteoStar
St: 000141; Cordoba2, Cordoba, MeteoStar
St: 000142; Mechita, Buenos Aires, MeteoStar
St: 000143; Rio Gallegos, Santa Cruz, MeteoStar
St: 000144; Gancedo, Chaco, MeteoStar
St: 000145; Carlos Casares, Buenos Aires, MeteoStar
St: 000146; Montevideo, MeteoStar
St: 000147; Las Toscas, Santa Fe, MeteoStar
St: 000148; Coronel Suarez, Buenos Aires, MeteoStar
St: 000149; 
St: 000150; Unknown spot, Unknown WG Station
St: 000151; Unknown spot, Unknown WG Station
St: 000152; Unknown spot, Unknown WG Station
St: 000153; Unknown spot, Unknown WG Station
St: 000154; Unknown spot, Unknown WG Station
St: 000155; Unknown spot, Unknown WG Station
St: 000156; Unknown spot, Unknown WG Station
St: 000157; Unknown spot, Unknown WG Station
St: 000158; Unknown spot, Unknown WG Station
St: 000159; Štěpánský rybník, Mýto
St: 000160; Fraserburgh Beach, Synergy Kitesports
St: 000161; Lago Maggiore, Brione s/Minusio, CASA LUCE
St: 000162; De Panne, Side Shore Surfers
St: 000163; Kleinbaai, Great White House
St: 000164; Carlingford Lough Yacht Club, Killowen, Northern Ireland
St: 000165; Âncora, Henrique Gonçalves
St: 000166; Florianópolis, Ondas do Vento - Campeche
St: 000167; Balykchi, YachtClub
St: 000168; Necker Island, North Sound
St: 000169; Dolphin beach, Guns
St: 000170; Villa Regina Rio Negro, MeteoStar
St: 000171; Soriano, MeteoStar
St: 000172; Littlehampton, Harbour
St: 000173; Campione del Garda, Tender RRD
St: 000174; kontikiteam, station
St: 000175; Maldives, Landaa Giraavaru, Four Seasons Resort, OSC
St: 000176; Progreso, Chicxulub Pto., Villa Mercedes
St: 000177; El Gouna, Kiteboarding Club El Gouna
St: 000178; Unknown spot, Unknown WG Station
St: 000179; Sylt, PWA
St: 000180; Rojas Buenos, Aires, MeteoStar
St: 000181; San Isidro, Buenos Aires, FreeWaves, MeteoStar
St: 000182; El Hoyo Chubut, MeteoStar
St: 000183; Unknown spot, Unknown WG Station
St: 000184; 4mile Beach Port Douglas QLD, 4mile Pt Douglas
St: 000185; Mombasa, XANTwindguru Mombasa
St: 000186; Shady Cottage, Shady Cottage Wind Station
St: 000187; La Torche, PWA
St: 000188; Dan's House, Hove Lagoon, Dan's House, Hove Lagoon
St: 000189; Eastbourne, Robinson Bay North
St: 000190; Unknown spot, Unknown WG Station
St: 000191; Unknown spot, Unknown WG Station
St: 000192; Unknown spot, Unknown WG Station
St: 000193; Unknown spot, Unknown WG Station
St: 000194; Unknown spot, Unknown WG Station
St: 000195; Unknown spot, Unknown WG Station
