St: 001001; Bosphorus, Teknik Grup
St: 001002; Tsandamba, Five Senses
St: 001003; Lago di Alpi, aqua-FUN® Wassersportcenter Erfurt
St: 001004; Los Roques, Gran Roque
St: 001005; Club Nautique de Giffaumont, CNG
St: 001006; Club de Velas Rosario, MeteoStar
St: 001007; Enoshima SC, AS-WG
St: 001008; Port Grimaud, PG Tower
St: 001009; Hampton Pier Yacht Club, Club House
St: 001010; Fecac6, Encuentro GNC SRL, Meteosar
St: 001011; חוף און-בצת, Bezet-Naharia
St: 001012; Paknampran, Racer Marina
St: 001013; www.skydivealgarve.com, Skydive Algarve #FollowTheOrange
St: 001014; Team SB, Kyrkfjärden
St: 001015; Westende, Surfclub Westende
St: 001016; Liepāja, Ziemeļu Mols
St: 001017; Costa Del Sol, Costa Del Sol East Coast
St: 001018; Westeinder Plassen, WSCA weerstation
St: 001019; Kerguelen - Larmor-Plage, Kerguelen - Sellor Nautisme
St: 001020; bathurst, top of the world
St: 001021; Kärdla Marina, Kärdla Marina
St: 001022; Kiteboardingcabarete.com, dare2fly_station
St: 001023; kiteboardingcabarete.com, dare2fly_station
St: 001024; Malcesine, Kitesurf Adventure
St: 001025; Kalpitiya - Dreamspot, KiteWorldWide Eco Lodge Dreamspot / Kalpitiya
St: 001026; Port of Montreal - Wharf 100, WTH-S100
St: 001027; Dolphin Bay Resort, Dolphin Bay Resort
St: 001028; Oneill Beachclub Blankenberge, OBC
St: 001029; Jaguaribe Kite&Lodge, Jaguaribe Kite
St: 001030; Umm As Summaq, Amman West
St: 001031; Gierle, Weerstation Gierle
St: 001032; Comodoro Rivadavia Centro, Ciencia Argentina 01
St: 001033; Ixia, Surfline Rhodes
St: 001034; Esztergom Airport, airwinweather
St: 001035; RS Feva World Championships 2017 - Medemblik, RS Sailing
St: 001036; Alas del Mar, Santa María del Mar, Perú, Meteosar
St: 001037; Karpathos LUV Spot, Bigdayz Kitesports
St: 001038; West Wyoming, PA, Bottom Of Mt. DBG FN21
St: 001039; Docklands Sailing & Watersports Centre, DSWC
St: 001040; Ibri, Nahdha
St: 001041; EPFL LIS, dronistics
St: 001042; Opole, Atmoterm S.A.
St: 001043; Plan d'Eau de Plobsheim, UNAP - Solentbay
St: 001044; Lazurne UA / Лазурне, Lazurnyi Bereg / Лазурний Берег
St: 001045; A Dare2fly.com Cabarete Kite Beach spot name, Kiteboardingcabarete.com
St: 001046; Chigasaki Park, Container of life guard
St: 001047; brest, brest
St: 001048; Ciudad Guayana, Climaguayana
St: 001049; Żary, ul. Fredry, ZaryFredry
St: 001050; Żary, ul. Fredry, Zary, ul. Fredry
St: 001051; ARAGON, Santiago del Estero, Meteosar
St: 001052; ITUCUMNP4, Los Pizarro, La Cocha, Meteosar
St: 001053; Keros Beach, Limnos, EASY SURF Keros
St: 001054; Ayres de Pilar, Matera 8, Ayres de Pilar, Del Viso
St: 001055; Surfcenter IJburg, Surfcenter IJburg
St: 001056; Del zonda, Colonia Bombal, Meteosar
St: 001057; Gral Bustos Cordoba, Daza WH3104
St: 001058; Meteonolte, Córdoba, Meteosar
St: 001059; Torkelstorp, Torkelstorp TTVK
St: 001060; Burtnieku ezers, "Burtnieku centra laivu kanāls"
St: 001061; Instituto Margarita O'Farrell de Maguire, Santa Lucia, Meteosar
St: 001062; Agay, baie d'agay
St: 001063; General Cabrera, Cordoba, Meteosar
St: 001064; Playa de l'Ahuir, Gandia Surf
St: 001065; Santiago del Estero - Los Flores, LosFlores
St: 001066; Saratoga West Valley, Saratoga West Valley
St: 001067; AquaPark, AquaPark
St: 001068; Lamesa, John Hutchison
St: 001069; 
St: 001070; Pinehurst, MeteoStation
St: 001071; Campo Yaquicho, Tucumán, Meteosar
St: 001072; Pointe Faula, AIRFLY972
St: 001073; Magic Marine RS Aero Nationals HISC, RS Regatta Support 2
St: 001074; Gaziveren, Aphrodite Surf Club
St: 001075; Oro Verde, GuglerLab-Fcyt-Uader
St: 001076; Skarholmen, KajTech - Skaris
St: 001077; Dairy Flat, North Shore Airport - NZNE
St: 001078; Taipei, Ivan
St: 001079; Fecac2, Cordoba, Meteosar
St: 001080; Fecac5, Ruta 5, Cordoba, Meteosar
St: 001081; Colegio Abraham, MeteoAgro
St: 001082; Stroomi surfiklubi, Windchilly
St: 001083; UAQ Kite Beach, UAQ Kite Beach
St: 001084; National Sailing Centre, Singapore Sailing Federation, NSC
St: 001085; Constance Halaveli Maldives, Constance Halaveli Maldives
St: 001086; Piedra Playa / El Cotillo, Cotillo Sunshine Apartments
St: 001087; FRENCH GUYANA, Sainte Rita
St: 001088; RIO GRANDE- TIERRA DEL FUEGO, LU7XZ
St: 001089; Salina, EW7204
St: 001090; Praia da Siriuba, Ballena
St: 001091; Paros Pounda, PAROSKITE
St: 001092; Katowice, OPAL.PL MAKSIMUM
St: 001093; Cliffs of Moher - Entrance, Cliffs of Moher - Entrance
St: 001094; Unknown spot, Unknown WG Station
St: 001095; Unknown spot, Unknown WG Station
St: 001096; EMA La Lonja, Pilar, Meteosar
St: 001097; Ingeniero Giagnoni, Mendoza, Meteosar
St: 001098; Estación 1 , Bariloche, Meteosar
St: 001099; Alicante, CRA
St: 001100; Controlled Events - site, Controlled Events
St: 001101; Mui Ne, Phan Thiet, C2Sky Kitecenter
St: 001102; Electrotym, Luján, Meteosar
St: 001103; Arroyo Seco, Wind & Kite
St: 001104; Glendale, AZ, Copperwood
St: 001105; Villy-le-Bouveret Haute Savoie 791m, Davis Vantage Pro2 Plus 6163 868 mHz
St: 001106; Barrio El Once, Villa La Angostura, Dirección de Protección Civil
St: 001107; Hirel, Anémometre Asnab
St: 001108; San Antonio de Arredondo, GF_METESAT
St: 001109; turkey heybeliada, heybeliada
St: 001110; KOLAN, SIRANA GLIGORA
St: 001111; Võrtsjärv, Jõesuu, Eik
St: 001112; לא פעיל, Bat Galim- DISABLED
St: 001113; dakhla spirit camp, dakhla spirit camp
St: 001114; TAMARA, TAMARA
St: 001115; Playa del Carmen, Centro, Navega Playa del Carmen
St: 001116; Salinas Yacht Club, SYC
St: 001117; lu4bmg ,villa devoto ,capital federal, icomuna115
St: 001118; Schokkerhaven, Surfse
St: 001119; Willemdvs, Willemdvs
St: 001120; ROSARIO, IROSARIO9
St: 001121; Facajalda, Margarita, Meteosar
St: 001122; SEREMANGE ERZANGE, VALDEFENSCH57 WEATHER STATION
St: 001123; Agrar del Sur, Balcarce, Meteosar
St: 001124; Donostia San Serbastian, Donostia Berio DAVIS
St: 001125; Donostia-San Sebastian, Donostia DAVIS
St: 001126; Los Ranqueles, Del Campillo, Meteosar
St: 001127; constanta, niculescu vlad
St: 001128; constanta, niculescu vlad
St: 001129; Silver Sands Beach, silver-sands-beach
St: 001130; Blashford Lake, Spinnaker Sailing Club
St: 001131; Rooiberg, Olievenspruit
St: 001132; TIGRE, TIGRE
St: 001133; PILAR, PILAR
St: 001134; Gral Rodriguez, Gral Rodriguez
St: 001135; 3 de Febrero, 3 de Febrero
St: 001136; Gonzalez Catan, Gonzalez Catan
St: 001137; Villinginluoto, Kalsu, Hattusaari
St: 001138; Merlo San Luis, Mirador de los condores
St: 001139; Apache Mesa Road, FishH2o
St: 001140; san martin, base3
St: 001141; El Pensamiento, Los Altos, Catamarca, Meteosar
St: 001142; 和興機車行, NA3moto
St: 001143; Čerťák, Čerťák PG Start 450m n.m.
St: 001144; Přípeř, Přípeř PG Start 300m n.m.
St: 001145; 和美, Na3moto
St: 001146; Sbarbaro Centro, Sbarbaro Centro
St: 001147; Bernieres sur mer, CVB
St: 001148; Ehoala, Strang Ehoala Port Logistics
St: 001149; Wake Merkur, Wake Park Merkur
St: 001150; Aviación Trombetta, Realico, MeteoStar
St: 001151; Yacht Club Entrerriano, C. del Uruguay, MeteoStar
St: 001152; Hupe-Holiday Domburg, Aanloop 28 Domburg
St: 001153; Montfort, Weerstation Montfort
St: 001154; Ko Lone Chalong Bay Phuket, Kite Zone - Ko Lone
St: 001155; River Styx on Lake Hopatcong, EW4722
St: 001156; West Reservoir, West Reservoir
St: 001157; Sunset Beach, Lamabeach.com
St: 001158; Gibson's Beach, gibsonsbeach
St: 001159; Skydive Jeffreys Bay, Skydive Jeffreys Bay
St: 001160; Guadeloupe, Sail & Surf Center @ Langley Resort Fort Royal
St: 001161; CARHUE, sudoeste carhue fumigaciones s.r.l
St: 001162; MILOS
St: 001163; Cary, Copperleaf
