St: 009001; Hoherodskopf/Vogelsb, WMO
St: 009002; Neu-Ulrichstein, WMO
St: 009003; Eisenach, WMO
St: 009004; Hersfeld Bad, WMO
St: 009005; Wasserkuppe, WMO
St: 009006; Chittorgarh, WMO
St: 009007; Meiningen, WMO
St: 009008; Fehmarn, WMO
St: 009009; Schmuecke, WMO
St: 009010; Erfurt-Weimar, WMO
St: 009011; Neuhaus am Rennweg, WMO
St: 009012; Guna, WMO
St: 009013; Tikamgarh, WMO
St: 009014; Schleiz, WMO
St: 009015; Osterfeld, WMO
St: 009016; 
St: 009017; Plauen, WMO
St: 009018; Bombay / Colaba, WMO
St: 009019; Satna, WMO
St: 009020; Carlsfeld, WMO
St: 009021; Chemnitz, WMO
St: 009022; Fichtelberg, WMO
St: 009023; Marienberg, WMO
St: 009024; Alibag, WMO
St: 009025; Zinnwald-Georgenfeld, WMO
St: 009026; Daltonganj, WMO
St: 009027; Dehri, WMO
St: 009028; Lichtenhain-Mittelnd, WMO
St: 009029; Matheran, WMO
St: 009030; Berhampore, WMO
St: 009031; Trier-Petrisberg, WMO
St: 009032; 
St: 009033; Hahn, WMO
St: 009034; Dharmsala, WMO
St: 009035; Imphal, WMO
St: 009036; Geisenheim, WMO
St: 009037; Poona, WMO
St: 009038; Bhuj-rudramata, WMO
St: 009039; Kleiner Feldberg/Tau, WMO
St: 009040; Frankfurt/Main, WMO
St: 009041; New Kandla, WMO
St: 009042; 
St: 009043; Neuhuetten/Spessart, WMO
St: 009044; Ahmadabad, WMO
St: 009045; Michelstadt-Vielbrun, WMO
St: 009046; Manali, WMO
St: 009047; 
St: 009048; Wuerzburg, WMO
St: 009049; Kissingen Bad, WMO
St: 009050; Ujjain, WMO
St: 009051; Bhopal/bairagarh, WMO
St: 009052; Lautertal-Oberlauter, WMO
St: 009053; Raisen, WMO
St: 009054; Damoh, WMO
St: 009055; Bamberg, WMO
St: 009056; Umaria, WMO
St: 009057; Hof, WMO
