St: 000053; Camber Sands, Red House
St: 000149; Villa Carlos Paz, Cordoba, MeteoStar
St: 000245; Paje, Zanzibar island, Airborne Kite & Surf Centres
St: 000249; Goa, Majorda Beach
St: 000330; Bredene, Twins Club
St: 000354; Liepāja,DR pludmale (Kites.lv)
St: 000382; 
St: 000515; Chichester Canal, Turners View
St: 000556; Melkbos Haakgat
St: 000600; Zandvoort, Watersport Vereniging Zandvoort (WVZ)
St: 000603; Plaja H2O, Plaja H2O
St: 000642; Ulyankovo, Moscow region
St: 000647; pelikan, Klein Rogahn
St: 000684; Clube do Jangadeiros, Clube dos Jangadeiros
St: 000686; Baltiysk, Spasalka
St: 000689; LEMUNKUYEN AURORA, Curacavi, Melipilla, Chile, Meteostar
St: 000744; Unknown spot, Unknown WG Station
St: 000764; Plantation Key, Fuca503
St: 000807; BDN St Paul, CielAustral
St: 000809; Origo Mare Pierre et Vacances, Majanicho, YOLO RIDERS WATERSPORTS
St: 000829; Cayman Turtle Centre, Cayman Turtle Centre
St: 000839; RedSeaZone, Egypt, RedSeaZone
St: 000845; Barrio Pueblo Nuevo, Bragado, Meteostar
St: 000876; Clahane, Clahane Waverider
St: 000882; Singapore, test 2
St: 000885; Сасыколи, Рыболовная база "Успех"
St: 000889; Miribel, Les Echets, iGirouette
St: 000894; Estación Sastre y Ortiz, Meteostar
St: 000909; Unknown spot, Unknown WG Station
St: 000914; Unknown spot, Unknown WG Station
St: 000935; Crandon Park, MIAMI KITEBOARDING
St: 000942; Kings Mills, Le Douit Farm
St: 000953; Belcekiz Beach Club Oludeniz Hangout, Belcekiz Beach Club Oludeniz
St: 000967; La Adelina, Gaiman, Chubut, Meteostar
St: 001069; atlantic, 000
St: 001230; Egge, OPK Eggekollen
St: 001233; Thessaloniki, Profitis SAM
St: 001234; Vauville, France, Vauville
St: 001235; CALANZANA, MIKE
St: 001236; Tasman, New Zealand, Inwoods
St: 001237; 
St: 001238; Germany, Roxheim, Auf dem Mergesfeld
St: 001239; Hemsedal, OPK Hydnefossen
St: 001240; 
St: 001387; ProteccionCivilVLA2, MeteoStar
St: 001418; VODA Surf Station, VODA Surf Station
St: 001429; St Sulpice, Port du Laviau
St: 001430; Elektrėnai, Jacthklubas, EBK Poseidonas
St: 001431; Sir Lowry's Pass, Sir Lowry's Pass
St: 001432; Olivedale, BuyLighting
St: 001433; Costa Volpino, Costa Volpino Webcam
St: 001434; Benicasim, Caseta CVB
St: 001435; Philippines, Siargao Island, General Luna, Barangay 5, BRAVO SIARGAO
St: 001436; Sweden, Uppsala, KajTech - Skaris
St: 001437; Los molinos, 4 Vientos Kite - METEOX
St: 001438; Winter Springs, FL (Orlando, FL) KFLWINTE111, Tuscawilla FW3708
St: 001439; Beverly, Massachusetts, CW0169
St: 001440; Helmsley, Helmsley
St: 001441; Olds Park Hurstville, Olds Park Hurstville
St: 001442; Lazurnoe, KiteClub
St: 001443; La Lonja, Pilar, Ema La Lonja
